序號,章,節,概念,次概念,考法,題組,題組題幹,題組圖1,題組圖2,圖高,題幹,題幹圖1,題幹圖2,選項A,選項B,選項C,選項D,圖A,圖B,圖C,圖D,出處,答案,原題號,鑑別度,通過率
556,11其他,綜合,,,,,,,,,若壯壯跟安安兩人對於早餐飲品的需求為：壯壯：我想要攝取較多的胺基酸。安安：我要減少攝取糖。則根據營養比較表，在攝取相同容量飲品的情況下，推論兩人的選擇，下列何者最合理？,,,兩人皆宜選擇牛奶,兩人皆宜選擇燕麥奶,壯壯選擇牛奶，安安選擇燕麥奶,壯壯選擇燕麥奶，安安選擇牛奶,,,,,112教育會考,A,43,0.55,0.57
557,11其他,綜合,,,,,,,,,阿洋提出以下觀點：清水浸泡洗滌方法中，不用添加物比使用添加物的洗滌效果好清水直接沖洗比各種浸泡洗滌方法的效果好根據本文，關於阿洋的觀點，下列敘述何者合理？,,,比較乙、丙的結果，可知觀點不恰當,比較乙、丁的結果，可知觀點不恰當,比較甲、戊的結果，可知觀點不恰當,比較乙、戊的結果，可知觀點不恰當,,,,,112教育會考,B,47,0.48,0.64
558,11其他,綜合,,,,,,,,,根據本文，「前處理」最可能為下列何者？,,,所有小白菜皆不浸泡農藥,所有小白菜浸泡相同濃度的同一種農藥,小白菜分別浸泡相同濃度的不同種農藥,小白菜分別浸泡不同濃度的同一種農藥,,,,,112教育會考,B,48,0.55,0.74
559,02養分,4消化系統,,,,,,,,,人體副甲狀腺分泌的激素是經由X所運送，若此激素分泌過多，會影響骨骼中的Y含量，可能造成骨質疏鬆。根據上述說明，推論X和Y最可能為下列何者？,,,X為血液，Y為鈣,X為血液，Y為鉀,X為消化液，Y為鈣,X為消化液，Y為鉀,,,,,113教育會考,A,5,0.5,0.81
560,11其他,綜合,,,,,,,,,醃漬高麗菜時，常會在高麗菜的葉片上灑鹽。圖(七)為正常的葉片細胞示意圖，表(一)中的圖為小凱與小萍預測醃漬後的葉片細胞可能的示意圖。推論醃漬後的示意圖與造成葉片細胞變化的原因，下列何者正確？,m0366,,小凱的圖正確，水由細胞內流至外界,小凱的圖正確，鹽由細胞內流至外界,小萍的圖正確，水由外界流至細胞內,小萍的圖正確，鹽由外界流至細胞內,,,,,113教育會考,A,9,0.57,0.74
561,07遺傳,1遺傳法則,,,,,,,,,老師選用基因型皆為Aa的雄、雌長翅果蠅進行交配，並要求學生觀察1000隻第一子代果蠅的表現型與數量。已知小坪僅觀察到4隻長翅果蠅及6隻短翅果蠅後，就直接推測其結果如表(二)。老師在小坪的紀錄本寫下：「理論上子代數量不太可能出現這樣的比例。」根據上述資訊，老師寫下該評語是因為理論上第一子代預測比例較可能為何？表(二),,,應全為長翅,應全為短翅,長翅與短翅的比例應約為1：3,長翅與短翅的比例應約為3：1,,,,,113教育會考,D,12,0.58,0.65
562,09分類,5動物界,,,,,,,,,圖(十)為某河川鯰魚族群在甲、乙、丙、丁不同時期數量變化的情形，下列何者最能說明甲、乙、丙、丁的變化情形？,m0367,,甲：出生＋遷入＜死亡＋遷出,乙：出生＋遷入＞死亡＋遷出,丙：出生＋死亡＞遷入＋遷出圖(十),丁：出生＋死亡＜遷入＋遷出,,,,,113教育會考,B,14,0.57,0.72
563,09分類,5動物界,,,,,,,,,已知刺絲胞動物皆生活在水中。小花看到某網友提到：「所有刺絲胞動物都生活在海洋中。例如海月水母就是一種生活在海洋中的刺絲胞動物」，若小花想驗證「所有刺絲胞動物都生活在海洋中」這句話是否成立，則下列何種方法最能達到此目的？,,,從海洋中找到海月水母,從海月水母身上找到刺絲胞,從淡水中找到一種刺絲胞動物,從海洋中找到很多種刺絲胞動物,,,,,113教育會考,C,20,0.5,0.57
564,05恆定,3水分恆定,,,,,,,,,以下為某學生在同一時間、同一花圃內，種植甲、乙、丙三種不同品牌薄荷種子的步驟：1.在花圃內畫設L、L、L三條種植的路線。甲乙丙2.分別平均在路線L灑上甲種子、路線L灑上乙種子、路線L灑上丙種子。甲乙丙3.每天在三條路線上以相同灌溉方式補充土壤的水分。4.一週後，記錄三條路線上發芽的種子數。表(五)為學生記錄此實驗的相關數據，若三條路線的生長環境都相同，根據此結果，下列敘述何者最合理？表(五),,,甲、乙兩品牌的發芽比例相等,乙、丙兩品牌的發芽比例相等,甲品牌比乙、丙品牌容易發芽,丙品牌比甲、乙品牌不容易發芽,,,,,113教育會考,A,21,0.58,0.77
565,11其他,綜合,,,,,,,,,小書與小花將某株被子植物莖部的形成層外圍構造剔除，發現此株植物逐漸因根部無法獲得養分而死亡，以下為兩人對此株植物的推論：小書：此株植物較可能為雙子葉植物。小花：此株植物較可能為單子葉植物。下列對兩人推論的敘述何者正確？,,,兩人均合理,兩人均不合理,只有小書合理,只有小花合理,,,,,113教育會考,C,22,0.52,0.57
566,06生殖,1細胞分裂與減數分裂,,,,,,,,,青蛙的染色體有13對，其中1對為性染色體。在不考慮突變的情況下，雌蛙卵巢內經減數分裂後的卵子，應有幾條性染色體？,,,1條,2條,13條,26條,,,,,113教育會考,A,30,0.54,0.48
567,03運輸,2循環系統,,,,,,,,,圖(十八)為人體的泌尿系統和其所連接血管的示意圖，其中乙血管中的氧氣含量比甲血管多。有關丙器官的生理功能及血液進出丙的路徑，下列敘述何者正確？,m0368,,形成尿素，甲→丙→乙,形成尿素，乙→丙→甲,形成尿液，甲→丙→乙,形成尿液，乙→丙→甲,,,,,113教育會考,D,33,0.57,0.5
568,09分類,1命名與分類,,,,,,,,,小美在植物圖鑑中看到杜鵑花科(Ericaceae)中的金毛杜鵑(Rhododendronoldhamii)後，若想要依學名搜尋與此植物同屬但不同物種的植物，則下列何種查詢方式最能達到他的目的？,,,學名第一個字為Ericaceae的植物,學名第二個字為oldhamii的植物,學名第一個字為Rhododendron的植物,學名為Rhododendronoldhamii的植物,,,,,113教育會考,C,39,0.59,0.65
569,02養分,2酵素,,,,,,,,,某工廠進行原料加工的製程如表(十一)。表(十一)當開始加工時，此原料中酵素X會持續催化原料中物質甲轉變成物質乙，但超過75℃後就無法再有催化的功能。若僅考慮酵素X的作用，這段加工製程中，哪兩時間點所含物質乙的量最相近？,,,10:00和10:10,10:15和10:25,10:25和10:45,10:50和11:00,,,,,113教育會考,D,41,0.54,0.38
570,09分類,5動物界,,,,,,,,,根據本文，過去食蛇龜曾面臨下列何種問題？,,,棲地破壞,環境汙染,過度捕捉,外來種引入,,,,,113教育會考,C,42,0.44,0.86
571,09分類,1命名與分類,,,,,,,,,根據本文，關於食蛇龜在IUCN的分類，下列何者最合理？,,,屬於滅絕物種,屬於低風險物種,屬於未做評估物種,屬於生存受脅物種,,,,,113教育會考,D,43,0.5,0.84
572,10生態,2交互關係,,,,,,,,,有報導指出：「在都市觀察到麻雀的頻率有變少的趨勢，可能的原因很多，其中之一為白尾八哥的入侵。白尾八哥築巢偏好的位置與麻雀相近，食物種類也相似，甚至被觀察到會以麻雀幼鳥為食。」根據上述報導，白尾八哥與麻雀之間最符合下列哪兩種交互作用？,,,競爭、掠食,競爭、共生,共生、掠食,寄生、掠食,,,,,114教育會考,A,3,0.39,0.9
573,11其他,綜合,,,,,,,,,圖(四)為某蘆筍植株的示意圖，圖中甲部位經過日光照射，呈現綠色；乙部位未受到日光照射，呈現白色。有關兩部位進行生理作用時所釋出的氣體，下列敘述何者最合理？,m0369,,甲能釋出O，但乙不能2,甲能釋出CO，但乙不能2,乙能釋出O，但甲不能2,乙能釋出CO，但甲不能,,,,,114教育會考,A,8,0.61,0.68
574,04協調,1神經系統,,,,,,,,,當看到喜愛的明星時，小明站在原地大聲尖叫，而阿華則是追著明星跑。表(二)整理上述兩人行為中神經傳導的過程，其中哪一項目的敘述正確？,,,受器表(二),動器,控制的中樞,傳導的神經,,,,,114教育會考,C,12,0.54,0.7
575,04協調,2內分泌系統,,,,,,,,,一群健康成人吃了等量的食物甲或乙後，平均血糖濃度的變化如圖(十)。已知健康成人空腹平均血糖濃度約為90mg/dL，根據此圖推論，下列何者最合理？,m0370,,進食後，甲比乙更早導致升糖素分泌量增加,進食後，甲比乙更早導致胰島素分泌量增加,進食後，乙比甲更早導致升糖素分泌量增加,進食後，乙比甲更早導致胰島素分泌量增加,,,,,114教育會考,B,20,0.45,0.55
576,03運輸,1植物的運輸,,,,,,,,,圖(十二)為某植物的莖部剖面示意圖。若想利用某儀器探測其蒸散作用的速率，關於實驗所需探測的圖中部位及對應理由，下列何者最合理？,m0371,,甲，因為它是運輸水分的部位,甲，因為它是運輸有機養分的部位,乙，因為它是運輸水分的部位,乙，因為它是運輸有機養分的部位,,,,,114教育會考,C,22,0.58,0.65
577,09分類,1命名與分類,,,,,,,,,表(四)為部分鳥類資料，推論表中所有表(四)鳥類在分類上的敘述，何者是可能的？,,,最多包含3個目、4個屬,最多包含3個目、6個屬,最多包含4個目、4個屬,最多包含4個目、6個屬,,,,,114教育會考,A,24,0.41,0.56
578,01生命世界,1顯微鏡,,,,,,,,,博物館展示一臺19世紀的骨董複式顯微鏡，如圖(十三)。小文根據博物館提供的說明，比較該顯微鏡和現代複式顯微鏡各構造的功能，何者差異最大？,m0372,,A,B,C,D,,,,,114教育會考,D,27,0.22,0.42
579,07遺傳,1遺傳法則,,,,,,,,,假設孔雀魚的黑眼睛及紅眼睛由一對遺傳因子所控制，遺傳因子有顯性A與隱性a兩種。將甲、乙兩隻黑眼睛孔雀魚交配，所生下的眾多子代有黑眼睛及紅眼睛兩種，其中任意選擇兩隻黑眼睛的子代標記為丙、丁，此過程如圖(十六)。在不考慮突變的情況下，推測甲、乙、丙、丁中，哪兩隻控制眼睛顏色性狀的基因型一定相同？,m0373,,甲、乙,甲、丙,乙、丁,丙、丁,,,,,114教育會考,A,30,0.64,0.63
580,09分類,1命名與分類,,,,,,,,,甲、乙兩種生物的比較如表(七)。關於甲、乙所屬的分類，依序為下列何者？,,,原生生物界、真菌界,原生生物界、植物界,真菌界、原生生物界,真菌界、原核生物界,,,,,114教育會考,D,34,0.58,0.53
581,06生殖,1細胞分裂與減數分裂,,,,,,,,,圖(二十)為細胞進行甲、乙兩種不同分裂方式的染色體變化示意圖。若比較「以葉片繁殖出幼苗」及「以種子萌芽成幼苗」的過程中發生的分裂方式，下列敘述何者最合理？,m0374,,兩者皆進行甲,兩者皆進行乙,以葉片繁殖的進行甲，以種子萌芽的進行乙,以葉片繁殖的進行乙，以種子萌芽的進行甲,,,,,114教育會考,A,35,0.48,0.33
582,02養分,2酵素,,,,,,,,,有甲、乙、丙三杯濃度相同的澱粉液，分別加入經不同條件表(八)處理的等量澱粉酶，經相同的作用時間後，以碘液與本氏液分別檢測此三杯溶液，結果如表(八)。根據此結果推測，哪杯澱粉液加入的澱粉酶應已完全失去作用？,,,僅甲,僅乙,甲和丙,乙和丙,,,,,114教育會考,A,36,0.48,0.42
583,11其他,綜合,,,,,,,,,僅根據小花檢測的初步結果，下列推論何者最合理？,,,出血時間過短，須進一步檢查,出血時間於容許範圍內，可能無異常,出血時間於容許範圍內，但可能罹患X減少症或其他凝血因子異常,出血時間過長，可能罹患X減少症或其他凝血因子異常,,,,,114教育會考,D,45,0.47,0.65
584,03運輸,2循環系統,,,,,,,,,表中的X最可能為下列何者？,,,淋巴,白血球,紅血球,血小板,,,,,114教育會考,D,46,0.55,0.72
585,11其他,1尺度,,,,,,,,,圖(三)比較了斑馬魚幼魚與其構造和病毒的大小。圖(四)為透過顯微鏡觀察斑馬魚幼魚時的畫面。根據圖中資訊，推測灰色斑塊最可能為下列何者？圖(三)圖(四),m0375,,一個血紅素蛋白,一個病毒,一個粒線體,一個細胞,,,,,115教育會考,B,6,0.42,0.87
586,04協調,1神經系統,,,,,,,,,圖(七)為人體的中樞神經系統示意圖。阿強參加賽跑時，一聽到槍聲響起便邁開步伐起跑，關於此過程涉及的神經系統運作，下列敘述何者正確？,m0376,,由甲產生槍聲的聽覺,由乙調節呼吸的快慢,由丙維持身體的平衡,由丁主掌步伐的大小,,,,,115教育會考,A,10,0.49,0.62
587,05恆定,2氣體恆定,,,,,,,,,圖(八)記錄了某人盡力吸氣後、盡力呼氣後，肺部中分別容納的氣體量。依此圖判斷胸腔變化，下列敘述何者正確？,m0377,,動作甲：橫膈上升且肋骨上舉,動作甲：橫膈下降且肋骨下降,動作乙：橫膈上升且肋骨下降,動作乙：橫膈下降且肋骨上舉,,,,,115教育會考,C,11,0.55,0.67
588,06生殖,2無性生殖,,,,,,,,,人類早在幾千年前就開始種植「玉米的祖先」作為糧食，但其口感和現在的玉米差異極大。經過長時間的育種，人類不斷利用具有某些特徵的植株進行雜交，漸漸地，雜交植株產生的「玉米粒」從原本較小且具有堅硬外殼的樣貌，變成趨近於現代玉米的樣貌。上述人類對玉米育種過程的敘述，下列何者最合理？,,,經由營養器官進行無性生殖,經由生殖器官進行有性生殖,親代與子代的表現型都相同,親代與子代的基因型都相同,,,,,115教育會考,B,13,0.65,0.56
589,04協調,1神經系統,,,,,,,,,蝦子的頭部有個稱為「觸角腺」的構造，可以過濾體內的液體，再將其中有用的物質吸收，並排出多餘的含氮廢物。依上述資訊推測，觸角腺的功能最類似人體哪個器官的功能？,,,肝臟,大腸,腎臟,尿道,,,,,115教育會考,C,20,0.33,0.52
590,09分類,5動物界,,,,,,,,,某魚池中原僅有黑色鯉魚，小瑛將50隻紅色鯉魚放入此魚池。一段時間後，再由此魚池隨機捕捉50隻鯉魚，發現其中5隻為紅色鯉魚。若從放入鯉魚到捕捉前，沒有鯉魚遷入、遷出、出生、死亡，且根據捉放法計算出來的黑色鯉魚數量為X，則下列敘述何者正確？,,,X為500隻，此數值為黑色鯉魚的實際數量,X為500隻，此數值為黑色鯉魚的可能數量,X為450隻，此數值為黑色鯉魚的實際數量,X為450隻，此數值為黑色鯉魚的可能數量,,,,,115教育會考,D,21,0.34,0.55
591,02養分,3光合作用,,,,,,,,,已知綠色植物可同時進行光合作用與呼吸作用，而光合作用的過程如下：關於甲、乙、丙三種物質的敘述，下列何者最合理？,,,甲主要由植物從土壤中吸收,乙主要由植物根部排出至土壤,乙與呼吸作用的產物相同,丙可作為呼吸作用的反應物,,,,,115教育會考,D,24,0.62,0.56
592,07遺傳,1遺傳法則,,,,,,,,,若某動物的黑白毛色僅由一對遺傳因子控制，黑色為顯性的特徵、白色為隱性的特徵。斌斌以黑棋代表顯性遺傳因子、白棋代表隱性遺傳因子，進行毛色遺傳的模擬實驗，於甲、乙兩個袋子皆放入50顆黑棋與50顆白棋混勻，再分別從兩袋各隨機抽出一顆棋子配對並記錄結果，接著各自放回原袋中混勻，反覆進行100次配對。關於結果紀錄中，毛色為黑、毛色為白的子代數量，最可能依序為何？,,,49、51,78、22,26、74,100、0,,,,,115教育會考,B,25,0.39,0.53
593,06生殖,5植物有性生殖,,,,,,,,,穿山龍為一種藥用植物，也俗稱棒槌瓜，葉呈掌狀，花朵為白色，種子的構造具有翅。根據上述資訊，下列推論何者最合理？,,,棒槌瓜的學名為穿山龍,成熟葉背可見孢子囊堆,其植株具有果實的構造,其植株具有毬果的構造,,,,,115教育會考,C,29,0.36,0.53
594,02養分,2酵素,,,,,,,,,蘇蘇在試管中加入蛋白質溶液與人體消化液中以蛋白質為受質的某酵素，充分混合後放置於適宜作用的穩定環境，蘇蘇接著每隔一段時間測量試管中蛋白質與X物質的濃度，結果如圖(二十二)。已知X物質為蛋白質被分解後的產物，則關於此0酵素的推論，下列何者最合理？圖(二十二),[待人工填入：圖],,可能由膽汁中取得此酵素,可能由胰液中取得此酵素,此酵素催化X物質的分解,此酵素催化X物質的合成,,,,,115教育會考,B,37,0.48,0.41
595,03運輸,2循環系統,,,,,,,,,甲、乙兩人討論從人體肺臟、肝臟流出的血液進入心臟之路徑，以下為兩人看法：甲：肺臟流出的血液會由血管最先進入右心房。乙：肝臟流出的血液會由血管最先進入右心室。甲、乙兩人的看法是否正確？,,,僅甲正確,僅乙正確,兩人皆正確,兩人皆錯誤,,,,,115教育會考,D,39,0.53,0.42
596,11其他,綜合,,,g11501,圖(二十八)為暄暄用來記錄植物蒸散作用速率的裝置，管中的氣泡會隨著植物的蒸散作用逐漸向右方移動，如箭頭所示，可以藉此推測植物的蒸散量。當需要使氣泡回到起始點時，可打開閥門使注水管的水向下流，氣泡就會向左移動。暄暄將此裝置放在室外一天，並重複於每一整點記錄氣泡的移動距離後，將氣泡的位置重新移動回起始點以收集下一整點的數據，最後得到圖(二十九)的數據。,m0378,,,,根據本文，下列對圖(二十九)數據的敘述何者正確？,[待人工填入：圖],,0～1時之間沒有發生蒸散作用,3～4時之間沒有發生蒸散作用,12～13時的平均蒸散速率為一天中最大值,6～7時的平均蒸散速率較7～8時的平均蒸散速率大,,,,,115教育會考,C,44,0.44,0.76
597,03運輸,1植物的運輸,,,,g11501,,,,,若依據暄暄的方式操作實驗，但將實驗裝置移至通風良好的乾燥室內放置兩天，則最不可能發生下列哪一種情況？,,,第一、二天記錄到的氣泡移動距離總和相近,在兩天的相同時段中，氣泡移動的距離相近,植物氣孔關閉減緩蒸散，使管中氣泡移動量很小,植物從氣孔吸收水分向下運輸，使管中氣泡向左移動,,,,,115教育會考,D,45,0.57,0.63
