年度,科目,題號,題目
112,英語,37,"37. In the third paragraph, why does Jesse Cohen think “this rule can be bad for children”?(A) Children may not want to share their toys with others. paragraph 段落(B) Children may have the wrong idea about following rules.(C) Children may not be able to learn from playing with toys.(D) Children may miss the chance to find out what they really like."
112,英語,38,"38. In the reading, after Jesse Cohen talks about an idea, he often gives an example to make it clear.Below are four of the sentences in the third paragraph. Which is used as an example?(A) “However, this rule can be bad for children.”(B) “Dolls help with their early language use, and building toys are good for learning math andscience.”(C) “Some doctors worry that children may use the same kind of thinking when they look forjobs in the future.”(D) “If they do, they may miss something more important than just getting a chance to play"
112,英語,39,39. What is the reading mostly about?(A) Marie Colvin’s war reports.(B) Marie Colvin’s working life.(C) Marie Colvin’s schooldays at Yale.(D) Marie Colvin’s experiences in Homs.
112,英語,40,40. What does it mean when someone has empathy?(A) They are good at taking war photos.(B) They like to read other people’s life stories.(C) They are able to understand how other people feel.(D) They are good at helping people change their own lives.
112,英語,41,41. Which is true about Marie Colvin?(A) The chance to study at Yale made her leave her job in the Middle East.(B) The experience in Sri Lanka did not change her way of reporting news.(C) She was killed in Homs when she was interviewing soldiers there for her report.(D) She was not sure what to do in the future until she worked for the Sunday Times.
112,英語,42,42. (A) what things are called(B) how sports are played(C) why different languages are spoken(D) what words are often spelled differently
112,英語,43,43. (A) how old they are(B) who they speak to(C) where they grew up(D) whether they are men or women
112,數學,1,1.(−3)3之值為何？(A)−27(B)−9(C)9(D)27
112,數學,2,2.下列何者為多項式x2−36的因式？(A)x−3(B)x−4(C)x−6(D)x−9
112,數學,3,3.圖(一)的立體圖形由相同大小的正方體積木堆疊而成。判斷拿走圖(一)的哪一個積木後，此圖形前視圖的形狀會改變？(A)甲(B)乙(C)丙(D)丁
112,數學,4,4.化簡135的結果為下列何者？(A)35(B)275(C)315(D)915
112,數學,5,"5.坐標平面上，一次函數y=−2x−6的圖形通過下列哪一個點？(A)(−4,1)(B)(−4,2)(C)(−4,−1)(D)"
112,數學,6,6.已知a=−1，b=−1，c=−1，下列關於a、b、c三數的大小關係，何者48正確？(A)a>c>b(B)a>b>c(C)b>c>a(D)c>b>a
112,數學,7,"7.如圖(二)，坐標平面上直線L的方程式為x=−5，直線M的方程式為y=−3，P點的坐標為(a,b)。根據圖(二)中P點位置判斷，下列關係何者正確？(A)a<−5，b>−3(B)a<−5，b<−3(C)a>−5，b>−3(D)a>−5，b<−3"
112,數學,8,8.如圖(三)，梯形ABCD中，AD//BC。若∠ADC=140°，且BD⊥CD，則∠DBC的度數為何？AD(A)30(B)40(C)50BC(D)60
112,數學,9,9.有多少個正整數是18的倍數，同時也是216的因數？(A)2(B)6(C)10(D)12
112,數學,10,10.利用公式解可得一元二次方程式3x2−11x−1=0的兩解為a、b，且a>b，求a值為何？−11+109(A)6−11+133(B)611+109(C)611+133(D)
112,數學,11,11.業者販售含咖啡因飲料時通常會以紅、黃、綠三色來標示每杯飲料的咖啡因含量，各顏色的意義如表(一)所示。表(ㄧ)表(二)我國建議每位成人一日的咖啡因攝取量不超過300毫克，歐盟則建議一日不超過400毫克。表(二)為某商店美式咖啡的容量及咖啡因含量標示，已知該店美式咖啡每毫升的咖啡因含量相同，判斷一位成人一日喝2杯該店中杯的美式咖啡，其咖啡因攝取量是否符合我國或歐盟的建議？(A)符合我國也符合歐盟(B)不符合我國也不符合歐盟(C)符合我國，不符合歐盟(D)不符合我國，符合歐盟
112,數學,12,12.盒玩的販售方式是將一款玩具裝在盒子中販賣，購買者只能從外盒知道購買的是哪一系列玩具，但無法知道是系列中的哪一款。圖(四)、圖(五)分別為動物系列、汽車系列盒玩中所有可能出現的款式。圖(四)圖(五)已知小友喜歡圖(四)中的A款、C款，喜歡圖(五)中的B款，若他打算購買圖(四)的盒玩一盒，且他買到圖(四)中每款玩具的機會相等；他也打算購買圖(五)的盒玩一盒，且他買到圖(五)中每款玩具的機會相等，則他買到的兩盒盒玩內的玩具都是他喜歡的款式的機率為何？1(A)151(B)102(C)113(D)
112,數學,13,13.如圖(六)，直角柱ABCDEF的底面為直角三角形。若∠ABC=∠DEF=90°，BC>AB>BE，則連接AE後，下列敘述何者正確？(A)∠ACB<∠FDE，∠AEB>∠ACB(B)∠ACB<∠FDE，∠AEB<∠ACB(C)∠ACB>∠FDE，∠AEB>∠ACB圖(六)(D)∠ACB>∠FDE，∠AEB<∠ACB
112,數學,14,14.坐標平面上有兩個二次函數的圖形，其頂點P、Q皆在x軸上，且有一水平線與兩圖形相交於A、B、C、D四點，各點位置如圖(七)所示。若AB=10，BC=5，CD=6，則PQ的長度為何？(A)7(B)8(C)9圖(七)(D)10
112,數學,15,"15.若想在等差數列1,2,3,4,5中插入一些數，使得新的數列也是等差數列，且新的數列的首項仍是1，末項仍是5，則新的數列的項數可能為下列何者？(A)11(B)15(C)30(D)33"
112,數學,16,16.已知某速食店販售的套餐內容為一片雞排和一杯可樂，且一份套餐的價錢比單點一片雞排再單點一杯可樂的總價錢便宜40元。阿俊打算到該速食店買兩份套餐，若他發現店內有單點一片雞排就再送一片雞排的促銷活動，且單點一片雞排再單點兩杯可樂的總價錢，比兩份套餐的總價錢便宜10元，則根據題意可得到下列哪一個結論？(A)一份套餐的價錢必為140元(B)一份套餐的價錢必為120元(C)單點一片雞排的價錢必為90元(D)單點一片雞排的價錢必為70元
112,數學,17,17.圖(八)的方格紙中，每個方格的邊長為1，A、O兩點皆在格線的交點上。今在此方格紙格線的交點上另外找兩點B、C，使得ΔABC的外心為O，求BC的長度為何？(A)4(B)5圖(八)(C)10(D)20
112,數學,18,18.樂樂停車場為24小時營業，其收費方式如表(三)表(三)所示。已知阿虹某日10:00進場停車，停了x小時後離場，x為整數。若阿虹離場的時間介於當日的20:00~24:00間，則他此次停車的費用為多少元？(A)5x+30(B)5x+50(C)5x+150(D)5x+200
112,數學,19,19.圖(九)為一圓形紙片，A、B、C為圓周上三點，其中AC為直徑。今以AB為摺線將紙片向右摺後，紙片蓋住部分的AC，而AB上與AC重疊的點為D，如圖(十)所示。若BC=35°，則AD的度數為何？(A)105(B)110(C)120(D)145
112,數學,20,20.如圖(十一)，ΔABC中，D點在BC上，且BD的中垂線與AB相交於E點，CD的中垂線與AC相交於F點。已知ΔABC的三個內角皆不相等，根據圖(十一)中標示的角，判斷下列敘述何者正確？(A)∠1=∠3，∠2=∠4(B)∠1=∠3，∠2≠∠4圖(十一)(C)∠1≠∠3，∠2=∠4(D)∠1≠∠3，∠2≠∠4
112,數學,21,21.圖(十二)有一東西向的直線吊橋橫跨溪谷，小維、阿良分別從西橋頭、東橋頭同時開始往吊橋的另一頭筆直地走過去，如圖(十二)所示。已知小維從西橋頭走了84步，阿良從東橋頭走了60步時，兩人在吊橋上的某點交會，且交會之後阿良再走70步恰好走到西橋頭。若小維每步的距離相等，阿良每步的距離相等，則交會之後小維再走多少步會恰好走到東橋頭？(A)46(B)50(C)60(D)72
112,數學,22,22.如圖(十三)，正方形ABCD與ΔEBC中，AD分別與EB、EC相交於F點、G點。若ΔEBG的面積為6，正方形ABCD的面積為16，則FG與BC的長度比為何？(A)3:5(B)3:6(C)3:7(D)3:8
112,數學,23,23.如圖(十四)，矩形ABCD中，AB=6，AD=8，且有一點P從B點沿著BD往D點移動。若過P點作AB的垂線交AB於E點，過P點作AD的垂線交AD於F點，則EF的長度最小為多少？14(A)524(B)5(C)5圖(十四)(D)7
